"Sample_label" "Expedition" "Station" "Date" "Latitude" "Longitude" "Layer" "Environmental_feature" "Depth" "Marine_biome" "Ocean_and_sea_region" "Biogeographical_province" "Temperature_median" "Nitrogen" "Ammonium_mean" "Nitrate_median" "Nitrate_mean" "Nitrite_median" "Nitrite_mean" "Nitrate_and_Nitrite_median" "Phosphate" "Silicate" "Iron_concentration_PISCES2" "Iron_concentration_ECCO2.DARWIN" "Iron_mean_5m" "Oxygen" "Salinity" "Sigma_theta" "Chlorophyll_a_concentration" "Chlorophyll_a_fluo" "Particulate_organic_carbon" "Particulate_inorganic_carbon" "Residence_time" "Conductivity" "PAR_1d_avg" "PAR_8d_avg" "PAR_30d_avg" "Season" "Season_phase" "Distance_to_coast" "Angular_scattering_coefficient" "Optical_backscattering_coefficient" "Backscattering_coefficient_particles" "Fluorescence" "Optical_beam_attenuation_coefficient" "Beam_attenuation_coefficient_particles" "Sunshine_duration" "Sea_ice_concentration_." "Sea_Ice_free_period" "Polar" "Okubo.Weiss_parameter" "Maximum_Lyapunov_exponent" "pH" "Total_Alkalinity" "Bicarbonate_ion" "Carbonate_ion" "Total_Carbon" "Aragonite_saturation_state" "Calcite_saturation_state" "Carbon_dioxide" "Carbon_dioxide_partial_pressure" "Mixed_layer_depth" "Brunt_Vaisala_maximum_depth" "Max_O2_depth" "Min_O2_depth" "Nitracline_depth" "Sea_surface_temperature_gradient" "Chlorophyll_c3" "Chlorophyll_c1_c2" "Chlorophyllide_a" "Peridinin" "Phaeophorbide_a" "X19.Butanoyloxyfucoxanthin" "Fucoxanthin" "Neoxanthin" "Prasinoxanthin" "Violaxanthin" "X19.Hexanoyloxyfucoxanthin" "Diadinoxanthin" "Alloxanthin" "Diatoxanthin" "Zeaxanthin" "Lutein" "Bacteriochlorophyll_a" "Divinyl_chlorophyll_b" "Chlorophyll_b" "Chlorophyll_b_plus_divinyl_chlorophyll_b" "Divinyl_chlorophyll_a" "Chlorophyll_a" "Chlorophyll_a_total" "Phaeophytin_a" "Carotene"
"113SUR3GGMM14" "113SUR" "Tara Oceans Expedition (2009-2013)" "TARA_113" "2011-06-19T17:12" -23.1108 -134.9327 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 23.791125 NA 0.005074472 0 0.037924197 NA 0.019451891 NA NA NA 0.01 0.134218594 0.000134219 202.996 36.51495 24.851175 20.0072 0.1251 78.24800873 0.000808061 2.222222 53.801251 22.426681 18.44811 19.786686 "autumn" "late" 102.7922 0.000591 0.00242 0.004082 1.910882 0.118262 0.103238 643 0 365 "non polar" -0.072296 0.030077 8.041607 NA NA NA NA NA NA 11.796971 407.604738 53 52 14 53 49 0.68621 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"122DCM1GGMM14" "122DCM" "Tara Oceans Expedition (2009-2013)" "TARA_122" "2011-07-28T17:15" -9.0063 -139.1394 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "115" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 24.661385 NA 0.030111594 3.213808 6.207147837 0.092792 0.087558472 2.67775 0.582933 1.907042 0.016 NA 2.316e-06 178.3692 36.101175 24.2843 45.3044 0.199886 43.59589767 0.000110317 15.833333 54.238216 0.009886 0.009956 0.009166 "winter" "middle" 29.6602 0.000313 0.000505 0.002163 1.880646 0.053485 0.044362 702 0 365 "non polar" 0.007751 0.028977 NA 0.0093 0 0.0107 0.0028 0.00165 0 NA NA 101 109 15 186 131 0.10853 0.0144 0.0177 0 0.0051 0 0.0107 0.0028 0.0093 0 0.00165 0.0246 0.00195 0 0 0.03415 0 0.0011 0 0.12515 0.12515 0.1082 0.10525 0.21345 0.00245 0.0211
"122SUR1GGMM14" "122SUR" "Tara Oceans Expedition (2009-2013)" "TARA_122" "2011-07-26T17:10" -8.9971 -139.1963 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 26.60467 NA 0.030111594 5.660372 6.207147837 0.11925 0.087558472 5.456 0.56795 2.1905 0.005 0.00232 2.316e-06 187.07695 35.37032 23.122935 39.197 0.177137 41.59049606 0.000125815 15.833333 55.270298 28.45742 28.026826 20.225781 "winter" "early" 4.603 0.000327 0.000605 0.002255 1.574452 0.070035 0.060791 701 0 365 "non polar" 0.007751 0.028977 7.470711 0.003 0 0.0045 0.0041 0.0012 0 48.966505 1801.446465 102 112 14 252 235 0.27504 0.0044 0.0082 0 0.0036 0 0.0045 0.0041 0.003 0 0.0012 0.0139 0.0016 0 3e-04 0.0479 0.0068 9e-04 0 0.0387 0.0387 0.0557 0.0705 0.1262 0 0.0081
"123SUR3GGMM14" "123SUR" "Tara Oceans Expedition (2009-2013)" "TARA_123" "2011-07-31T17:20" -8.9068 -140.283 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 26.586685 NA 0.02508309 4.805128 6.231764158 0.14425 0.054778114 4.9015 0.53495 2.2205 0.005 0.00228 2.277e-06 189.6701 35.3551 23.11712 42.7934 0.181215 77.0915184 0.000143744 1.083333 55.230397 NA 23.435565 15.680517 "winter" "middle" 2.4728 0.000344 0.000726 0.002377 1.63837 0.109217 0.090418 703 0 365 "non polar" -0.011503 0.053774 8.012428 0.0023 0.0036 0.01 0.0092 6e-04 0.00155 11.921045 439.081584 122 134 14 606 278 NA 0.0154 0.0142 0 0.00605 0.0036 0.01 0.0092 0.0023 0.00155 6e-04 0.03115 0.0039 8e-04 5e-04 0.01325 0 0.00125 0 0.03185 0.03185 0 0.1781 0.1781 0.00225 0.00585
"124SUR1GGMM14" "124SUR" "Tara Oceans Expedition (2009-2013)" "TARA_124" "2011-08-04T18:33" -9.1504 -140.5216 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 26.572419 NA 0.023188621 4.965553 6.232079824 0.1665 0.052577804 6.2015 0.63025 2.53325 0.007 0.00246 2.459e-06 190.378187 35.384031 23.143631 40.0394 0.261381 73.13096237 0.000165428 2.777778 55.255253 24.609687 23.731942 16.14096 "winter" "middle" 36.1359 0.000375 0.000939 0.00259 1.628674 0.122752 0.108145 704 0 365 "non polar" 9.6e-05 0.043603 7.870713 0.00937 0.00774 0.01821 0.01184 0.00435 0.00386 17.599899 646.697247 103 113 13 286 241 0.096513 0.01686 0.02655 0.00023 0.00746 0.00774 0.01821 0.01184 0.00937 0.00386 0.00435 0.06849 0.00603 0.00312 0.00059 0.10181 0.00638 0.00145 0 0.06239 0.06239 0.07657 0.28826 0.36506 0.00501 0.02398
"125SUR1GGMM14" "125SUR" "Tara Oceans Expedition (2009-2013)" "TARA_125" "2011-08-08T17:33" -8.9111 -142.5571 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 26.80604 NA 0.01748565 5.460123 6.146822453 0.1945 0.02433348 3.7335 0.55725 1.80475 0.005 0.00236 2.359e-06 187.3321 35.42651 23.10143 43.5563 0.178072 55.34723282 8.75286e-05 0 55.562826 NA 26.554936 18.494441 "winter" "middle" 227.3463 0.000339 0.000687 0.002338 1.645425 0.086422 0.074869 706 0 365 "non polar" -0.004254 0.014455 8.015136 0.0032 0 0.0077 0.0029 6e-04 0 11.793852 436.548929 109 119 14 274 281 0.19558 0.0101 0.0101 0 0.0033 0 0.0077 0.0029 0.0032 0 6e-04 0.0255 0.0025 0 0.001 0.057 0.004 9e-04 0 0.0389 0.0389 0.0664 0.1026 0.169 0.0037 0.0096
"127SUR1GGMM14" "127SUR" "Tara Oceans Expedition (2009-2013)" "TARA_127" "2011-08-31T18:00" -6.6499 -152.4243 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[SPSG] South Pacific Subtropical Gyre Province. North and South (MRGID:21486)" 27.067715 NA 0.019421275 5.064634 5.954986572 0.1715 0.036846063 4.821 0.56525 1.932 0.005 0.00305 3.054e-06 188.4359 35.41223 23.00702 58.5974 0.201192 47.22198486 0.000131832 3.222222 55.821895 31.809084 32.366216 33.773231 "winter" "late" 375.7214 0.000329 0.00062 0.002271 1.607691 0.072825 0.06783 719 0 365 "non polar" -0.001602 0.03885 NA 0.0014 0 0.0024 0.0015 4e-04 0 NA NA 127 149 15 635 227 0.16747 0.0033 0.0037 0 0.0011 0 0.0024 0.0015 0.0014 0 4e-04 0.01 0.0013 0 5e-04 0.0267 0.0022 0 0 0.0182 0.0182 0.0328 0.0368 0.0696 0 0.0041
"128DCM1GGMM14" "128DCM" "Tara Oceans Expedition (2009-2013)" "TARA_128" "2011-09-05T17:07" 0.001 -153.6387 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "40" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)" 26.139288 NA 0.032420254 3.000673 3.827482581 0.2835 0.078800819 5.264 0.54925 2.7405 0.035 NA 3.345e-06 177.673063 35.146525 23.1032 27.7445 0.28262 63.16188049 0.000250654 0 54.483871 NA 0.949927 0.595241 "winter" "late" 444.7725 0.000354 0.000797 0.002446 1.708381 0.104657 0.093623 727 0 365 "non polar" 0.069092 0.115437 NA 0.0036 0 0.0203 0.0082 0.002 0 NA NA 64 113 15 376 298 0.31764 0.0151 0.0206 0 0.0062 0 0.0203 0.0082 0.0036 0 0.002 0.0463 0.0036 0 0 0.0332 0.0022 0 0.0084 0.0276 0.036 0.0617 0.113 0.1747 0 0.0103
"128SUR1GGMM14" "128SUR" "Tara Oceans Expedition (2009-2013)" "TARA_128" "2011-09-05T16:38" 0.0078 -153.6265 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[SPO] South Pacific Ocean (MRGID:1910)" "[PEOD] Pacific Equatorial Divergence Province (MRGID:21489)" 26.218438 NA 0.032420254 2.964091 3.827482581 0.2715 0.078800819 5.0815 0.53975 2.668 0.033 0.00335 3.345e-06 180.67375 35.129025 23.062688 27.7445 0.25349 63.16188049 0.000250654 0 54.527743 NA 28.83553 19.882019 "winter" "late" 444.7725 0.000358 0.000826 0.002475 1.682422 0.109414 0.09838 727 0 365 "non polar" 0.069092 0.115437 NA 0.0015 0 0.0127 0.0061 0.0013 0 NA NA 64 113 15 376 298 0.31764 0.0081 0.0096 0 0.0038 0 0.0127 0.0061 0.0015 0 0.0013 0.0257 0.0081 0 0.0013 0.0324 0.0029 0 0 0.0206 0.0206 0.0335 0.0723 0.1057 0 0.0064
"129DCM1GGMM14" "129DCM" "Tara Oceans Expedition (2009-2013)" "TARA_129" "2011-09-11T16:50" 6.6112 -153.0543 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "85" "Trades Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)" 28.308435 NA 0.012012992 0 3.236661275 0.6895 0.004823963 1.1285 0.332 1.448 0.016 NA 3.426e-06 183.1609 34.798985 22.14902 44.7859 0.214085 NA NA 1.083333 56.301308 NA NA NA "summer" "late" 706.795 0.000328 0.00062 0.002266 1.683812 0.078943 0.062851 731 0 365 "non polar" 0.002842 0.045416 NA 0.0025 0 0.015 0.004 7e-04 5e-04 NA NA 91 117 41 169 154 0.18099 0.0143 0.0131 0 0.0036 0 0.015 0.004 0.0025 5e-04 7e-04 0.0415 0.002 0 0 0.0173 0 0 0.0157 0.0293 0.045 0.0391 0.0736 0.1127 0 0.0087
"129SUR1GGMM14" "129SUR" "Tara Oceans Expedition (2009-2013)" "TARA_129" "2011-09-10T17:57" 6.671 -153.0658 "SUR" "[SRF] surface water layer (ENVO:00010504)" "5" "Trades Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)" 28.29544 NA 0.012012992 0 3.236661275 0.042 0.004823963 0.4145 0.225 1.3695 0.005 0.00343 3.426e-06 185.28475 34.74947 22.10997 44.1436 0.21374 44.20000076 0.000172 1.083333 56.184399 NA NA NA "summer" "late" 388.3567 0.000324 0.000595 0.002241 1.600104 0.081837 0.065781 732 0 365 "non polar" 0.002842 0.045416 NA 0.0016 0 0.0057 0.0025 9e-04 0 NA NA 81 110 39 169 153 0.35133 0.0049 0.0054 0 0.0023 0 0.0057 0.0025 0.0016 0 9e-04 0.0211 0.004 0 0.0014 0.0234 0.0015 0 0 0.0179 0.0179 0.025 0.0475 0.0726 0 0.0041
"132DCM1GGMM14" "132DCM" "Tara Oceans Expedition (2009-2013)" "TARA_132" "2011-10-05T00:27" 31.5237 -159.0351 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "115" "Westerlies Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)" 15.321075 NA 0.022323498 0 0.001618445 0.017 0.023501203 0.047 0.1252 4.4468 0.049 NA 0.00081438 222.94125 34.39568 25.4389 19.2771 0.158691 28.12493038 0.000152055 0 42.616726 0.006352 0.006445 0.003747 "autumn" "early" 972.1014 0.000292 0.000357 0.002018 1.910665 0.049509 0.035929 705 0 365 "non polar" 0.134524 0.043804 NA 0.0055 0 0.041 0.0099 0.0011 9e-04 NA NA 48 58 52 16 128 0.95762 0.024 0.0253 0 0.0035 0 0.041 0.0099 0.0055 9e-04 0.0011 0.0512 0.0029 0 0 0.0352 0 0 0.0674 0.0449 0.1123 0.0929 0.13 0.2254 0.0035 0.0256
"133DCM1GGMM14" "133DCM" "Tara Oceans Expedition (2009-2013)" "TARA_133" "2011-10-19T00:09" 35.4002 -127.7499 "DCM" "[DCM] deep chlorophyll maximum layer (ENVO:01000326)" "45" "Westerlies Biome" "[NPO] North Pacific Ocean (MRGID:1908)" "[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)" 13.874505 NA 0.019672674 1.185394 0.004801808 0.06 0.010027013 0.92875 0.43225 2.65725 0.056 NA 0.000164224 236.1591 33.208145 24.82737 23.1884 0.389715 69.53207397 0.000330236 41.555556 39.908694 0.227196 0.288524 0.330246 "autumn" "early" 513.3648 0.000451 0.00146 0.003115 2.683702 0.209146 0.15965 671 0 365 "non polar" -0.465615 0.043359 NA 0.0169 0 0.10295 0.03465 0.00555 0.00685 NA NA 11 38 29 530 95 1.0633 0.10505 0.09905 0 0.0395 0 0.10295 0.03465 0.0169 0.00685 0.00555 0.25425 0.01615 0.0051 0.00525 0.0454 0.00875 0.00095 0 0.1551 0.1551 0.05715 0.5522 0.6135 0.01505 0.0224
